trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.3867410234545012, 'e': 0.001294022105465848}",20,10,17.8493915211298,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.38289288597511206, 'e': 0.0012065382139580395}",30,13,34.66699259130604,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.37908303810339883, 'e': 0.0011249687741748363}",25,1,33.3504624255753,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.37531109885139957, 'e': 0.0010489139326277882}",25,7,30.934380294591037,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.3715766910220457, 'e': 0.0009780008683953937}",25,6,-8.791743035949077,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,8,27.167932709671025,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,16.106872219275516,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,6.985630807662259,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,12,17.14492987399226,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,6,32.144509464624655,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,26.302530268612262,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,24.719456641301406,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,19.99368316997498,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,18.301079432048834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,10.950769767064763,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
